code,label,group,pop2022
E38000143,NHS Greater Manchester ICB - 01G,NHS Greater Manchester ICB,278867
E38000161,NHS Cheshire and Merseyside ICB - 01T,NHS Cheshire and Merseyside ICB,163734
E38000170,NHS Cheshire and Merseyside ICB - 01V,NHS Cheshire and Merseyside ICB,117305
E38000172,NHS Cheshire and Merseyside ICB - 01X,NHS Cheshire and Merseyside ICB,184728
E38000174,NHS Greater Manchester ICB - 01W,NHS Greater Manchester ICB,297191
E38000187,NHS Greater Manchester ICB - 02A,NHS Greater Manchester ICB,236651
E38000194,NHS Cheshire and Merseyside ICB - 02E,NHS Cheshire and Merseyside ICB,211797
E38000200,NHS Lancashire and South Cumbria ICB - 02G,NHS Lancashire and South Cumbria ICB,119360
E38000205,NHS Greater Manchester ICB - 02H,NHS Greater Manchester ICB,334014
E38000208,NHS Cheshire and Merseyside ICB - 12F,NHS Cheshire and Merseyside ICB,322439
E38000217,NHS Greater Manchester ICB - 14L,NHS Greater Manchester ICB,566778
E38000226,NHS Lancashire and South Cumbria ICB - 02M,NHS Lancashire and South Cumbria ICB,200311
E38000227,NHS Lancashire and South Cumbria ICB - 01E,NHS Lancashire and South Cumbria ICB,211900
E38000228,NHS Lancashire and South Cumbria ICB - 01K,NHS Lancashire and South Cumbria ICB,331324
E38000233,NHS Cheshire and Merseyside ICB - 27D,NHS Cheshire and Merseyside ICB,768386
E38000263,NHS Greater Manchester ICB - 01Y,NHS Greater Manchester ICB,232806
