code,label,group
E38000232,NHS West Yorkshire ICB - 36J,NHS West Yorkshire ICB
E38000234,NHS North East and North Cumbria ICB - 84H,NHS North East and North Cumbria ICB
E38000241,NHS Humber and North Yorkshire ICB - 42D,NHS Humber and North Yorkshire ICB
E38000247,NHS North East and North Cumbria ICB - 16C,NHS North East and North Cumbria ICB
E38000254,NHS West Yorkshire ICB - X2C4Y,NHS West Yorkshire ICB
E38000007,NHS Mid and South Essex ICB - 99E,NHS Mid and South Essex ICB
E38000030,NHS Mid and South Essex ICB - 99F,NHS Mid and South Essex ICB
E38000049,NHS Hertfordshire and West Essex ICB - 06K,NHS Hertfordshire and West Essex ICB
E38000079,NHS Hertfordshire and West Essex ICB - 06N,NHS Hertfordshire and West Essex ICB
E38000086,NHS Suffolk and North East Essex ICB - 06L,NHS Suffolk and North East Essex ICB
E38000106,NHS Mid and South Essex ICB - 06Q,NHS Mid and South Essex ICB
E38000117,NHS Suffolk and North East Essex ICB - 06T,NHS Suffolk and North East Essex ICB
E38000168,NHS Mid and South Essex ICB - 99G,NHS Mid and South Essex ICB
E38000185,NHS Mid and South Essex ICB - 07G,NHS Mid and South Essex ICB
E38000197,NHS Hertfordshire and West Essex ICB - 07H,NHS Hertfordshire and West Essex ICB
E38000204,NHS Suffolk and North East Essex ICB - 07K,NHS Suffolk and North East Essex ICB
E38000239,NHS Norfolk and Waveney ICB - 26A,NHS Norfolk and Waveney ICB
E38000249,"NHS Bedfordshire, Luton and Milton Keynes ICB -","NHS Bedfordshire, Luton and Milton Keynes ICB"
E38000260,NHS Cambridgeshire and Peterborough ICB - 06H,NHS Cambridgeshire and Peterborough ICB
E38000014,NHS Lancashire and South Cumbria ICB - 00Q,NHS Lancashire and South Cumbria ICB
E38000015,NHS Lancashire and South Cumbria ICB - 00R,NHS Lancashire and South Cumbria ICB
E38000016,NHS Greater Manchester ICB - 00T,NHS Greater Manchester ICB
E38000024,NHS Greater Manchester ICB - 00V,NHS Greater Manchester ICB
E38000034,NHS Lancashire and South Cumbria ICB - 00X,NHS Lancashire and South Cumbria ICB
E38000050,NHS Lancashire and South Cumbria ICB - 01A,NHS Lancashire and South Cumbria ICB
E38000068,NHS Cheshire and Merseyside ICB - 01F,NHS Cheshire and Merseyside ICB
E38000080,NHS Greater Manchester ICB - 01D,NHS Greater Manchester ICB
E38000091,NHS Cheshire and Merseyside ICB - 01J,NHS Cheshire and Merseyside ICB
E38000101,NHS Cheshire and Merseyside ICB - 99A,NHS Cheshire and Merseyside ICB
E38000135,NHS Greater Manchester ICB - 00Y,NHS Greater Manchester ICB
E38000143,NHS Greater Manchester ICB - 01G,NHS Greater Manchester ICB
E38000161,NHS Cheshire and Merseyside ICB - 01T,NHS Cheshire and Merseyside ICB
E38000170,NHS Cheshire and Merseyside ICB - 01V,NHS Cheshire and Merseyside ICB
E38000172,NHS Cheshire and Merseyside ICB - 01X,NHS Cheshire and Merseyside ICB
E38000174,NHS Greater Manchester ICB - 01W,NHS Greater Manchester ICB
E38000187,NHS Greater Manchester ICB - 02A,NHS Greater Manchester ICB
E38000194,NHS Cheshire and Merseyside ICB - 02E,NHS Cheshire and Merseyside ICB
E38000200,NHS Lancashire and South Cumbria ICB - 02G,NHS Lancashire and South Cumbria ICB
E38000205,NHS Greater Manchester ICB - 02H,NHS Greater Manchester ICB
E38000208,NHS Cheshire and Merseyside ICB - 12F,NHS Cheshire and Merseyside ICB
E38000217,NHS Greater Manchester ICB - 14L,NHS Greater Manchester ICB
E38000226,NHS Lancashire and South Cumbria ICB - 02M,NHS Lancashire and South Cumbria ICB
E38000227,NHS Lancashire and South Cumbria ICB - 01E,NHS Lancashire and South Cumbria ICB
E38000228,NHS Lancashire and South Cumbria ICB - 01K,NHS Lancashire and South Cumbria ICB
E38000233,NHS Cheshire and Merseyside ICB - 27D,NHS Cheshire and Merseyside ICB
E38000263,NHS Greater Manchester ICB - 01Y,NHS Greater Manchester ICB
