Basis,Org_Code,Parent_Org,Org_Name,Standard_or_Item,Cancer_Type,Referral_Route_or_Stage,Treatment_Modality,Total,Within,After,Performance,Within_14_days,In_15_to_28_days,In_29_to_42_days,In_43_to_62_days,After_62_days,Within_31_days,In_32_to_38_days,In_39_to_48_days,In_49_to_62_days,In_63_to_76_days,In_77_to_90_days,In_91_to_104_days,After_104_days,In_15_to_16_days,In_17_to_21_days,In_22_to_28_days,After_28_days
Provider,Total,England,Total,FDS,Suspected lung cancer,ALL ROUTES,,6167,4829,1338,0.783038755,2905,1924,662,423,253,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected other cancer,ALL ROUTES,,213,154,59,0.723004695,84,70,40,12,7,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected sarcoma,ALL ROUTES,,1258,893,365,0.709856916,483,410,164,94,107,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected skin cancer,ALL ROUTES,,59219,51068,8151,0.862358365,33689,17379,4598,2103,1450,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected testicular cancer,ALL ROUTES,,786,663,123,0.84351145,441,222,58,41,24,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected upper gastrointestinal cancer,ALL ROUTES,,18632,14265,4367,0.765618291,8394,5871,2340,1265,762,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected urological malignancies (excluding testicular),ALL ROUTES,,21622,13270,8352,0.61372676,6737,6533,3481,2817,2054,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,"BREAST SYMPTOMATIC, CANCER NOT SUSPECTED",,9025,7707,1318,0.853961219,4016,3691,944,281,93,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Missing or Invalid,NATIONAL SCREENING PROGRAMME,,79,46,33,0.582278481,24,22,18,9,6,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected breast cancer,NATIONAL SCREENING PROGRAMME,,4906,3759,1147,0.766204647,1870,1889,761,270,116,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected gynaecological cancer,NATIONAL SCREENING PROGRAMME,,1373,1028,345,0.748725419,627,401,198,93,54,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected lower gastrointestinal cancer,NATIONAL SCREENING PROGRAMME,,6637,3710,2927,0.558987494,925,2785,1650,857,420,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected lung cancer,NATIONAL SCREENING PROGRAMME,,1007,631,376,0.626613704,352,279,178,117,81,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected acute leukaemia,URGENT SUSPECTED CANCER,,27,19,8,0.703703704,15,4,4,3,1,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected brain/central nervous system tumours,URGENT SUSPECTED CANCER,,982,838,144,0.853360489,510,328,101,37,6,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected breast cancer,URGENT SUSPECTED CANCER,,43324,36713,6611,0.847405595,19131,17582,4779,1407,425,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected cancer - non-specific symptoms,URGENT SUSPECTED CANCER,,4146,2905,1241,0.70067535,1017,1888,676,386,179,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected children's cancer,URGENT SUSPECTED CANCER,,966,863,103,0.893374741,615,248,62,28,13,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected gynaecological cancer,URGENT SUSPECTED CANCER,,24510,16426,8084,0.670175439,8211,8215,4305,2503,1276,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected haematological malignancies (excluding acute leukaemia),URGENT SUSPECTED CANCER,,1678,1026,652,0.611442193,585,441,300,240,112,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected head & neck cancer,URGENT SUSPECTED CANCER,,26901,20382,6519,0.757667001,13400,6982,3415,1976,1128,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected lower gastrointestinal cancer,URGENT SUSPECTED CANCER,,38895,25408,13487,0.653245918,10701,14707,7095,4141,2251,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected lung cancer,URGENT SUSPECTED CANCER,,5160,4198,962,0.813565891,2553,1645,484,306,172,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected other cancer,URGENT SUSPECTED CANCER,,213,154,59,0.723004695,84,70,40,12,7,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected sarcoma,URGENT SUSPECTED CANCER,,1258,893,365,0.709856916,483,410,164,94,107,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected skin cancer,URGENT SUSPECTED CANCER,,59219,51068,8151,0.862358365,33689,17379,4598,2103,1450,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected testicular cancer,URGENT SUSPECTED CANCER,,786,663,123,0.84351145,441,222,58,41,24,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected upper gastrointestinal cancer,URGENT SUSPECTED CANCER,,18632,14265,4367,0.765618291,8394,5871,2340,1265,762,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected urological malignancies (excluding testicular),URGENT SUSPECTED CANCER,,21622,13270,8352,0.61372676,6737,6533,3481,2817,2054,,,,,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,ALL STAGES,ALL MODALITIES,56219,51439,4780,0.914975364,,,,,796,51439,1866,1293,825,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,ALL STAGES,Anti-cancer drug regimen,16993,16703,290,0.982934149,,,,,20,16703,174,66,30,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,ALL STAGES,Other,7044,6928,116,0.983532084,,,,,38,6928,21,28,29,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,ALL STAGES,Radiotherapy,11484,10032,1452,0.873563218,,,,,271,10032,568,359,254,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,ALL STAGES,Surgery,20698,17776,2922,0.85882694,,,,,467,17776,1103,840,512,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,First Treatment,ALL MODALITIES,29994,27763,2231,0.925618457,,,,,285,27763,943,652,351,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,First Treatment,Anti-cancer drug regimen,6652,6588,64,0.990378833,,,,,3,6588,36,19,6,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,First Treatment,Other,6328,6295,33,0.994785082,,,,,8,6295,9,10,6,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,First Treatment,Radiotherapy,1800,1613,187,0.896111111,,,,,29,1613,102,40,16,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,First Treatment,Surgery,15214,13267,1947,0.872025766,,,,,245,13267,796,583,323,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,Subsequent,ALL MODALITIES,26225,23676,2549,0.902802669,,,,,511,23676,923,641,474,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,Subsequent,Anti-cancer drug regimen,10341,10115,226,0.978145247,,,,,17,10115,138,47,24,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,Subsequent,Other,716,633,83,0.884078212,,,,,30,633,12,18,23,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,Subsequent,Radiotherapy,9684,8419,1265,0.86937216,,,,,242,8419,466,319,238,,,,,,,,
Provider,Total,England,Total,31D,ALL CANCERS,Subsequent,Surgery,5484,4509,975,0.822210066,,,,,222,4509,307,257,189,,,,,,,,
Provider,Total,England,Total,31D,Breast,ALL STAGES,ALL MODALITIES,12569,11490,1079,0.914153871,,,,,132,11490,498,271,178,,,,,,,,
Provider,Total,England,Total,31D,Gynaecological,ALL STAGES,ALL MODALITIES,2720,2528,192,0.929411765,,,,,14,2528,85,55,38,,,,,,,,
Provider,Total,England,Total,31D,Haematological - Lymphoma,ALL STAGES,ALL MODALITIES,1883,1841,42,0.977695167,,,,,5,1841,24,9,4,,,,,,,,
Provider,Total,England,Total,31D,Haematological - Other (a),ALL STAGES,ALL MODALITIES,1815,1787,28,0.984573003,,,,,5,1787,13,9,1,,,,,,,,
Provider,Total,England,Total,31D,Head & Neck,ALL STAGES,ALL MODALITIES,2044,1833,211,0.896771037,,,,,34,1833,79,66,32,,,,,,,,
Provider,Total,England,Total,31D,Lower Gastrointestinal,ALL STAGES,ALL MODALITIES,5347,4874,473,0.911539181,,,,,28,4874,219,154,72,,,,,,,,
Provider,Total,England,Total,31D,Lung,ALL STAGES,ALL MODALITIES,4740,4492,248,0.947679325,,,,,29,4492,128,65,26,,,,,,,,
Provider,Total,England,Total,31D,Other (a),ALL STAGES,ALL MODALITIES,2131,2040,91,0.957297044,,,,,17,2040,35,29,10,,,,,,,,
Provider,Total,England,Total,31D,Skin,ALL STAGES,ALL MODALITIES,7490,6590,900,0.879839786,,,,,154,6590,339,259,148,,,,,,,,
Provider,Total,England,Total,31D,Upper Gastrointestinal - Hepatobiliary,ALL STAGES,ALL MODALITIES,1963,1837,126,0.935812532,,,,,10,1837,46,44,26,,,,,,,,
Provider,Total,England,Total,31D,Upper Gastrointestinal - Oesophagus & Stomach,ALL STAGES,ALL MODALITIES,1495,1435,60,0.959866221,,,,,4,1435,35,16,5,,,,,,,,
Provider,Total,England,Total,31D,Urological - Other (a),ALL STAGES,ALL MODALITIES,3052,2613,439,0.856159895,,,,,108,2613,132,111,88,,,,,,,,
Provider,Total,England,Total,31D,Urological - Prostate,ALL STAGES,ALL MODALITIES,8970,8079,891,0.900668896,,,,,256,8079,233,205,197,,,,,,,,
Provider,Total,England,Total,31D,Breast,First Treatment,ALL MODALITIES,4482,4124,358,0.920124944,,,,,13,4124,193,106,46,,,,,,,,
Provider,Total,England,Total,31D,Breast,Subsequent,ALL MODALITIES,8087,7366,721,0.910844565,,,,,119,7366,305,165,132,,,,,,,,
Provider,Total,England,Total,31D,Gynaecological,First Treatment,ALL MODALITIES,1303,1195,108,0.917114351,,,,,9,1195,53,27,19,,,,,,,,
Provider,Total,England,Total,31D,Gynaecological,Subsequent,ALL MODALITIES,1417,1333,84,0.940719831,,,,,5,1333,32,28,19,,,,,,,,
Provider,Total,England,Total,31D,Haematological - Lymphoma,First Treatment,ALL MODALITIES,1033,1023,10,0.990319458,,,,,3,1023,5,1,1,,,,,,,,
Provider,Total,England,Total,31D,Haematological - Lymphoma,Subsequent,ALL MODALITIES,850,818,32,0.962352941,,,,,2,818,19,8,3,,,,,,,,
Provider,Total,England,Total,31D,Haematological - Other (a),First Treatment,ALL MODALITIES,936,927,9,0.990384615,,,,,0,927,5,3,1,,,,,,,,
Provider,Total,England,Total,31D,Haematological - Other (a),Subsequent,ALL MODALITIES,879,860,19,0.978384528,,,,,5,860,8,6,0,,,,,,,,
Provider,Total,England,Total,31D,Head & Neck,First Treatment,ALL MODALITIES,1041,936,105,0.899135447,,,,,8,936,44,37,16,,,,,,,,
Provider,Total,England,Total,31D,Head & Neck,Subsequent,ALL MODALITIES,1003,897,106,0.894317049,,,,,26,897,35,29,16,,,,,,,,
Provider,Total,England,Total,31D,Lower Gastrointestinal,First Treatment,ALL MODALITIES,2992,2723,269,0.910093583,,,,,17,2723,123,88,41,,,,,,,,
Provider,Total,England,Total,31D,Lower Gastrointestinal,Subsequent,ALL MODALITIES,2355,2151,204,0.913375796,,,,,11,2151,96,66,31,,,,,,,,
Provider,Total,England,Total,31D,Lung,First Treatment,ALL MODALITIES,3203,3011,192,0.940056197,,,,,27,3011,90,53,22,,,,,,,,
Provider,Total,England,Total,31D,Lung,Subsequent,ALL MODALITIES,1537,1481,56,0.963565387,,,,,2,1481,38,12,4,,,,,,,,
Provider,Total,England,Total,31D,Other (a),First Treatment,ALL MODALITIES,1031,988,43,0.958292919,,,,,9,988,16,15,3,,,,,,,,
Provider,Total,England,Total,31D,Other (a),Subsequent,ALL MODALITIES,1100,1052,48,0.956363636,,,,,8,1052,19,14,7,,,,,,,,
Provider,Total,England,Total,31D,Skin,First Treatment,ALL MODALITIES,5420,4870,550,0.898523985,,,,,75,4870,228,168,79,,,,,,,,
Provider,Total,England,Total,31D,Skin,Subsequent,ALL MODALITIES,2070,1720,350,0.830917874,,,,,79,1720,111,91,69,,,,,,,,
Provider,Total,England,Total,31D,Upper Gastrointestinal - Hepatobiliary,First Treatment,ALL MODALITIES,1336,1274,62,0.953592814,,,,,3,1274,23,27,9,,,,,,,,
Provider,Total,England,Total,31D,Upper Gastrointestinal - Hepatobiliary,Subsequent,ALL MODALITIES,627,563,64,0.897926635,,,,,7,563,23,17,17,,,,,,,,
Provider,Total,England,Total,31D,Upper Gastrointestinal - Oesophagus & Stomach,First Treatment,ALL MODALITIES,883,848,35,0.960362401,,,,,2,848,23,6,4,,,,,,,,
Provider,Total,England,Total,31D,Upper Gastrointestinal - Oesophagus & Stomach,Subsequent,ALL MODALITIES,612,587,25,0.959150327,,,,,2,587,12,10,1,,,,,,,,
Provider,Total,England,Total,31D,Urological - Other (a),First Treatment,ALL MODALITIES,1788,1462,326,0.817673378,,,,,81,1462,98,79,68,,,,,,,,
Provider,Total,England,Total,31D,Urological - Other (a),Subsequent,ALL MODALITIES,1264,1151,113,0.910601266,,,,,27,1151,34,32,20,,,,,,,,
Provider,Total,England,Total,31D,Urological - Prostate,First Treatment,ALL MODALITIES,4546,4382,164,0.963924329,,,,,38,4382,42,42,42,,,,,,,,
Provider,Total,England,Total,31D,Urological - Prostate,Subsequent,ALL MODALITIES,4424,3697,727,0.835669078,,,,,218,3697,191,163,155,,,,,,,,
Provider,Total,England,Total,62D,ALL CANCERS,ALL ROUTES,ALL MODALITIES,27941,19546,8395,0.699545471,,,,,8395,7858,2404,3540,5744,2797,2081,1267,2250,,,,
Provider,Total,England,Total,62D,ALL CANCERS,ALL ROUTES,Anti-cancer drug regimen,6322,4105,2217,0.649319835,,,,,2217,1484,512,766,1343,777,561,355,524,,,,
Provider,Total,England,Total,62D,ALL CANCERS,ALL ROUTES,Other,6015,4847,1168,0.805818786,,,,,1168,2528,561,776,982,425,281,163,299,,,,
Provider,Total,England,Total,62D,ALL CANCERS,ALL ROUTES,Radiotherapy,1651,681,970,0.412477286,,,,,970,178,66,131,306,243,201,152,374,,,,
Provider,Total,England,Total,62D,ALL CANCERS,ALL ROUTES,Surgery,13953,9913,4040,0.710456533,,,,,4040,3668,1265,1867,3113,1352,1038,597,1053,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Urgent Suspected Cancer,ALL MODALITIES,15376,9833,5543,0.639503122,,,,,5543,2867,1408,2093,3465,1893,1362,848,1440,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Urgent Suspected Cancer,Anti-cancer drug regimen,3715,2090,1625,0.562584118,,,,,1625,504,286,441,859,598,412,253,362,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Urgent Suspected Cancer,Other,2814,2019,795,0.717484009,,,,,795,529,300,505,685,307,184,110,194,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Urgent Suspected Cancer,Radiotherapy,693,185,508,0.266955267,,,,,508,23,16,30,116,118,104,92,194,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Urgent Suspected Cancer,Surgery,8154,5539,2615,0.679298504,,,,,2615,1811,806,1117,1805,870,662,393,690,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Breast Symptomatic,ALL MODALITIES,108,77,31,0.712962963,,,,,31,10,11,17,39,20,5,2,4,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Breast Symptomatic,Anti-cancer drug regimen,44,36,8,0.818181818,,,,,8,8,7,7,14,6,2,0,0,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Breast Symptomatic,Radiotherapy,2,1,1,0.5,,,,,1,0,0,0,1,1,0,0,0,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Breast Symptomatic,Surgery,62,40,22,0.64516129,,,,,22,2,4,10,24,13,3,2,4,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Screening,ALL MODALITIES,2181,1368,813,0.627235213,,,,,813,140,143,315,770,302,219,117,175,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Screening,Anti-cancer drug regimen,235,141,94,0.6,,,,,94,26,14,28,73,26,24,20,24,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Screening,Other,64,45,19,0.703125,,,,,19,13,8,8,16,6,5,4,4,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Screening,Radiotherapy,92,23,69,0.25,,,,,69,0,1,4,18,20,13,5,31,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Screening,Surgery,1790,1159,631,0.647486034,,,,,631,101,120,275,663,250,177,88,116,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Consultant Upgrade,ALL MODALITIES,10276,8268,2008,0.804593227,,,,,2008,4841,842,1115,1470,582,495,300,631,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Consultant Upgrade,Anti-cancer drug regimen,2328,1838,490,0.7895189,,,,,490,946,205,290,397,147,123,82,138,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Consultant Upgrade,Other,3137,2783,354,0.887153331,,,,,354,1986,253,263,281,112,92,49,101,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Consultant Upgrade,Radiotherapy,864,472,392,0.546296296,,,,,392,155,49,97,171,104,84,55,149,,,,
Provider,Total,England,Total,62D,ALL CANCERS,Consultant Upgrade,Surgery,3947,3175,772,0.804408411,,,,,772,1754,335,465,621,219,196,114,243,,,,
Provider,Total,England,Total,62D,Breast,ALL ROUTES,ALL MODALITIES,4338,2991,1347,0.689488243,,,,,1347,426,372,706,1487,595,408,174,170,,,,
Provider,Total,England,Total,62D,Gynaecological,ALL ROUTES,ALL MODALITIES,1243,753,490,0.605792438,,,,,490,180,103,148,322,188,131,66,105,,,,
Provider,Total,England,Total,62D,Haematological - Lymphoma,ALL ROUTES,ALL MODALITIES,965,673,292,0.697409326,,,,,292,341,67,120,145,94,56,45,97,,,,
Provider,Total,England,Total,62D,Haematological - Other (a),ALL ROUTES,ALL MODALITIES,795,706,89,0.888050314,,,,,89,455,56,93,102,35,19,17,18,,,,
Provider,Total,England,Total,62D,Head & Neck,ALL ROUTES,ALL MODALITIES,971,572,399,0.589083419,,,,,399,137,64,124,247,151,95,77,76,,,,
Provider,Total,England,Total,62D,Lower Gastrointestinal,ALL ROUTES,ALL MODALITIES,2821,1729,1092,0.612903226,,,,,1092,579,165,308,677,325,274,185,308,,,,
Provider,Total,England,Total,62D,Lung,ALL ROUTES,ALL MODALITIES,3056,1884,1172,0.616492147,,,,,1172,816,202,305,561,366,295,166,345,,,,
Provider,Total,England,Total,62D,Other (a),ALL ROUTES,ALL MODALITIES,864,703,161,0.813657407,,,,,161,460,83,64,96,48,40,26,47,,,,
Provider,Total,England,Total,62D,Skin,ALL ROUTES,ALL MODALITIES,4744,4186,558,0.88237774,,,,,558,2186,641,696,663,188,141,88,141,,,,
Provider,Total,England,Total,62D,Upper Gastrointestinal - Hepatobiliary,ALL ROUTES,ALL MODALITIES,1280,982,298,0.7671875,,,,,298,669,67,94,152,68,65,51,114,,,,
Provider,Total,England,Total,62D,Upper Gastrointestinal - Oesophagus & Stomach,ALL ROUTES,ALL MODALITIES,852,568,284,0.666666667,,,,,284,215,77,96,180,109,74,46,55,,,,
Provider,Total,England,Total,62D,Urological - Other (a),ALL ROUTES,ALL MODALITIES,1641,975,666,0.594149909,,,,,666,418,136,182,239,137,142,119,268,,,,
Provider,Total,England,Total,62D,Urological - Prostate,ALL ROUTES,ALL MODALITIES,4371,2824,1547,0.646076413,,,,,1547,976,371,604,873,493,341,207,506,,,,
Provider,Total,England,Total,62D,Breast,Urgent Suspected Cancer,ALL MODALITIES,2323,1484,839,0.6388291,,,,,839,163,183,344,794,368,258,112,101,,,,
Provider,Total,England,Total,62D,Gynaecological,Urgent Suspected Cancer,ALL MODALITIES,767,370,397,0.482398957,,,,,397,35,32,77,226,157,109,50,81,,,,
Provider,Total,England,Total,62D,Haematological - Lymphoma,Urgent Suspected Cancer,ALL MODALITIES,381,184,197,0.482939633,,,,,197,43,23,57,61,63,42,25,67,,,,
Provider,Total,England,Total,62D,Haematological - Other (a),Urgent Suspected Cancer,ALL MODALITIES,264,207,57,0.784090909,,,,,57,79,32,47,49,21,12,12,12,,,,
Provider,Total,England,Total,62D,Head & Neck,Urgent Suspected Cancer,ALL MODALITIES,608,282,326,0.463815789,,,,,326,28,25,63,166,122,83,63,58,,,,
Provider,Total,England,Total,62D,Lower Gastrointestinal,Urgent Suspected Cancer,ALL MODALITIES,1450,747,703,0.515172414,,,,,703,98,72,175,402,221,178,114,190,,,,
Provider,Total,England,Total,62D,Lung,Urgent Suspected Cancer,ALL MODALITIES,727,378,349,0.519944979,,,,,349,108,51,70,149,115,76,62,96,,,,
Provider,Total,England,Total,62D,Other (a),Urgent Suspected Cancer,ALL MODALITIES,222,126,96,0.567567568,,,,,96,43,29,16,38,29,22,18,27,,,,
Provider,Total,England,Total,62D,Skin,Urgent Suspected Cancer,ALL MODALITIES,3626,3156,470,0.870380585,,,,,470,1493,550,578,535,156,123,77,114,,,,
Provider,Total,England,Total,62D,Upper Gastrointestinal - Hepatobiliary,Urgent Suspected Cancer,ALL MODALITIES,300,177,123,0.59,,,,,123,80,21,27,49,29,26,21,47,,,,
Provider,Total,England,Total,62D,Upper Gastrointestinal - Oesophagus & Stomach,Urgent Suspected Cancer,ALL MODALITIES,438,244,194,0.557077626,,,,,194,62,37,50,95,70,56,30,38,,,,
Provider,Total,England,Total,62D,Urological - Other (a),Urgent Suspected Cancer,ALL MODALITIES,835,438,397,0.524550898,,,,,397,148,74,89,127,87,77,78,155,,,,
Provider,Total,England,Total,62D,Urological - Prostate,Urgent Suspected Cancer,ALL MODALITIES,3435,2040,1395,0.593886463,,,,,1395,487,279,500,774,455,300,186,454,,,,
Provider,Total,England,Total,62D,Breast,Breast Symptomatic,ALL MODALITIES,107,76,31,0.710280374,,,,,31,10,11,17,38,20,5,2,4,,,,
Provider,Total,England,Total,62D,Skin,Breast Symptomatic,ALL MODALITIES,1,1,0,1,,,,,0,0,0,0,1,0,0,0,0,,,,
Provider,Total,England,Total,62D,Breast,Screening,ALL MODALITIES,1416,1019,397,0.719632768,,,,,397,93,117,258,551,181,109,49,58,,,,
Provider,Total,England,Total,62D,Gynaecological,Screening,ALL MODALITIES,22,18,4,0.818181818,,,,,4,10,2,0,6,1,2,1,0,,,,
Provider,Total,England,Total,62D,Haematological - Lymphoma,Screening,ALL MODALITIES,14,7,7,0.5,,,,,7,0,2,1,4,1,2,1,3,,,,
Provider,Total,England,Total,62D,Haematological - Other (a),Screening,ALL MODALITIES,3,3,0,1,,,,,0,0,2,1,0,0,0,0,0,,,,
Provider,Total,England,Total,62D,Lower Gastrointestinal,Screening,ALL MODALITIES,393,185,208,0.470737913,,,,,208,22,9,30,124,46,58,39,65,,,,
Provider,Total,England,Total,62D,Lung,Screening,ALL MODALITIES,315,127,188,0.403174603,,,,,188,14,9,24,80,72,45,25,46,,,,
Provider,Total,England,Total,62D,Other (a),Screening,ALL MODALITIES,1,1,0,1,,,,,0,0,0,0,1,0,0,0,0,,,,
Provider,Total,England,Total,62D,Upper Gastrointestinal - Hepatobiliary,Screening,ALL MODALITIES,2,1,1,0.5,,,,,1,0,0,0,1,0,0,0,1,,,,
Provider,Total,England,Total,62D,Upper Gastrointestinal - Oesophagus & Stomach,Screening,ALL MODALITIES,4,1,3,0.25,,,,,3,0,1,0,0,1,1,1,0,,,,
Provider,Total,England,Total,62D,Urological - Other (a),Screening,ALL MODALITIES,10,5,5,0.5,,,,,5,1,1,1,2,0,2,1,2,,,,
Provider,Total,England,Total,62D,Urological - Prostate,Screening,ALL MODALITIES,1,1,0,1,,,,,0,0,0,0,1,0,0,0,0,,,,
Provider,Total,England,Total,62D,Breast,Consultant Upgrade,ALL MODALITIES,492,412,80,0.837398374,,,,,80,160,61,87,104,26,36,11,7,,,,
Provider,Total,England,Total,62D,Gynaecological,Consultant Upgrade,ALL MODALITIES,454,365,89,0.803964758,,,,,89,135,69,71,90,30,20,15,24,,,,
Provider,Total,England,Total,62D,Haematological - Lymphoma,Consultant Upgrade,ALL MODALITIES,570,482,88,0.845614035,,,,,88,298,42,62,80,30,12,19,27,,,,
Provider,Total,England,Total,62D,Haematological - Other (a),Consultant Upgrade,ALL MODALITIES,528,496,32,0.939393939,,,,,32,376,22,45,53,14,7,5,6,,,,
Provider,Total,England,Total,62D,Head & Neck,Consultant Upgrade,ALL MODALITIES,363,290,73,0.798898072,,,,,73,109,39,61,81,29,12,14,18,,,,
Provider,Total,England,Total,62D,Lower Gastrointestinal,Consultant Upgrade,ALL MODALITIES,978,797,181,0.814928425,,,,,181,459,84,103,151,58,38,32,53,,,,
Provider,Total,England,Total,62D,Lung,Consultant Upgrade,ALL MODALITIES,2014,1379,635,0.684707051,,,,,635,694,142,211,332,179,174,79,203,,,,
Provider,Total,England,Total,62D,Other (a),Consultant Upgrade,ALL MODALITIES,641,576,65,0.898595944,,,,,65,417,54,48,57,19,18,8,20,,,,
Provider,Total,England,Total,62D,Skin,Consultant Upgrade,ALL MODALITIES,1117,1029,88,0.921217547,,,,,88,693,91,118,127,32,18,11,27,,,,
Provider,Total,England,Total,62D,Upper Gastrointestinal - Hepatobiliary,Consultant Upgrade,ALL MODALITIES,978,804,174,0.82208589,,,,,174,589,46,67,102,39,39,30,66,,,,
