DATA_MONTH,DATA_LEVEL,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,SPECIALTY_GROUP,SPECIALTY,STAFF_GROUP_1,GRADE,FTE,HEADCOUNT
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Oral and maxillo-facial surgery,HCHS doctors - Core Training,Core Training,8.0,8
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Oral and maxillo-facial surgery,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Oral and maxillo-facial surgery,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Oral and maxillo-facial surgery,HCHS doctors - Specialty Doctor,Specialty Doctor,3.413,5
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Oral and maxillo-facial surgery,HCHS doctors - Specialty Registrar,Specialty Registrar,3.0,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Oral medicine,HCHS doctors - Consultant,Consultant,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Orthodontics,HCHS doctors - Consultant,Consultant,2.75,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Orthodontics,HCHS doctors - Specialty Registrar,Specialty Registrar,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Emergency medicine,Emergency medicine,HCHS doctors - Consultant,Consultant,30.3,31
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Emergency medicine,Emergency medicine,HCHS doctors - Core Training,Core Training,43.88125,48
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Emergency medicine,Emergency medicine,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,4.0,4
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Emergency medicine,Emergency medicine,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,6.0,6
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Emergency medicine,Emergency medicine,HCHS doctors - Specialty Doctor,Specialty Doctor,3.875,4
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Emergency medicine,Emergency medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,16.79375,19
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Acute internal medicine,HCHS doctors - Consultant,Consultant,13.2361,16
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Acute internal medicine,HCHS doctors - Core Training,Core Training,15.97125,18
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Acute internal medicine,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,4.88125,5
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Acute internal medicine,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,2.0,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Acute internal medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,9.6375,10
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Audio vestibular medicine,HCHS doctors - Consultant,Consultant,3.9,4
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Cardiology,HCHS doctors - Consultant,Consultant,21.3005,23
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Cardiology,HCHS doctors - Core Training,Core Training,13.875,14
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Cardiology,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,6.0,6
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Cardiology,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,2.0,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Cardiology,HCHS doctors - Specialty Registrar,Specialty Registrar,13.7375,14
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Clinical genetics,HCHS doctors - Consultant,Consultant,7.55,9
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Clinical genetics,HCHS doctors - Specialty Registrar,Specialty Registrar,1.2,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Dermatology,HCHS doctors - Consultant,Consultant,9.59,11
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Dermatology,HCHS doctors - Core Training,Core Training,2.0,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Dermatology,HCHS doctors - Specialty Doctor,Specialty Doctor,2.8,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Dermatology,HCHS doctors - Specialty Registrar,Specialty Registrar,2.5,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Endocrinology and diabetes mellitus,HCHS doctors - Consultant,Consultant,15.0245,16
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Endocrinology and diabetes mellitus,HCHS doctors - Core Training,Core Training,3.0,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Endocrinology and diabetes mellitus,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Endocrinology and diabetes mellitus,HCHS doctors - Specialty Registrar,Specialty Registrar,5.29375,6
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Gastro-enterology,HCHS doctors - Consultant,Consultant,32.227,34
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Gastro-enterology,HCHS doctors - Core Training,Core Training,18.89375,20
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Gastro-enterology,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,4.0,4
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Gastro-enterology,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,3.0,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Gastro-enterology,HCHS doctors - Specialty Registrar,Specialty Registrar,19.30625,20
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,General (internal) medicine,HCHS doctors - Associate Specialist,Associate Specialist,3.426,8
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,General (internal) medicine,HCHS doctors - Consultant,Consultant,20.003,23
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,General (internal) medicine,HCHS doctors - Core Training,Core Training,63.8375,69
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,General (internal) medicine,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,7.0,7
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,General (internal) medicine,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,6.0,6
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,General (internal) medicine,HCHS doctors - Other HCHS Doctor Grades,Other HCHS Doctor Grades,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,General (internal) medicine,HCHS doctors - Specialty Doctor,Specialty Doctor,3.0,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,General (internal) medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,20.125,23
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,General practice (GP) 6 month training,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,3.0,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,General practice (GP) 6 month training,HCHS doctors - Other HCHS Doctor Grades,Other HCHS Doctor Grades,0.1,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Genito-urinary medicine,HCHS doctors - Associate Specialist,Associate Specialist,4.1336,6
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Genito-urinary medicine,HCHS doctors - Consultant,Consultant,5.2,6
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Genito-urinary medicine,HCHS doctors - Core Training,Core Training,2.0,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Genito-urinary medicine,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Genito-urinary medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,1.85625,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Geriatric medicine,HCHS doctors - Consultant,Consultant,23.3553,25
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Geriatric medicine,HCHS doctors - Core Training,Core Training,35.1,37
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Geriatric medicine,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,7.0,7
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Geriatric medicine,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,6.0,6
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Geriatric medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,14.05,15
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Infectious diseases,HCHS doctors - Consultant,Consultant,6.0,6
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Infectious diseases,HCHS doctors - Core Training,Core Training,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Infectious diseases,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Infectious diseases,HCHS doctors - Specialty Registrar,Specialty Registrar,1.8375,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Medical oncology,HCHS doctors - Consultant,Consultant,14.685,15
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Medical oncology,HCHS doctors - Core Training,Core Training,14.6125,16
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Medical oncology,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,2.0,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Medical oncology,HCHS doctors - Specialty Registrar,Specialty Registrar,12.075,13
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Medical ophthalmology,HCHS doctors - Specialty Doctor,Specialty Doctor,0.816,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Medical ophthalmology,HCHS doctors - Specialty Registrar,Specialty Registrar,7.9,8
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Neurology,HCHS doctors - Consultant,Consultant,15.87,17
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Neurology,HCHS doctors - Core Training,Core Training,8.525,9
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Neurology,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,0.64,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Neurology,HCHS doctors - Specialty Doctor,Specialty Doctor,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Neurology,HCHS doctors - Specialty Registrar,Specialty Registrar,16.8375,17
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Occupational medicine,HCHS doctors - Consultant,Consultant,2.7,5
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Other specialties,HCHS doctors - Specialty Registrar,Specialty Registrar,5.9,7
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Palliative medicine,HCHS doctors - Consultant,Consultant,7.05,8
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Palliative medicine,HCHS doctors - Core Training,Core Training,4.73125,5
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Palliative medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Rehabilitation medicine,HCHS doctors - Consultant,Consultant,2.8,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Rehabilitation medicine,HCHS doctors - Core Training,Core Training,5.49375,6
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Rehabilitation medicine,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,4.95625,5
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Rehabilitation medicine,HCHS doctors - Specialty Doctor,Specialty Doctor,0.8,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Rehabilitation medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,1.9,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Renal medicine,HCHS doctors - Consultant,Consultant,18.0,18
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Renal medicine,HCHS doctors - Core Training,Core Training,4.93125,5
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Renal medicine,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,4.0,4
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Renal medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,10.53875,11
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Respiratory medicine,HCHS doctors - Consultant,Consultant,27.7943,31
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Respiratory medicine,HCHS doctors - Core Training,Core Training,24.2125,25
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Respiratory medicine,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,9.0,9
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Respiratory medicine,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,6.0,6
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Respiratory medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,8.61875,9
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Rheumatology,HCHS doctors - Consultant,Consultant,10.0429,11
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Rheumatology,HCHS doctors - Core Training,Core Training,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Rheumatology,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,2.0,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Rheumatology,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,0.88125,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Rheumatology,HCHS doctors - Specialty Registrar,Specialty Registrar,4.18125,5
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,General medicine group,Sport and exercise medicine,HCHS doctors - Consultant,Consultant,1.3156,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Obstetrics and gynaecology group,Community sexual and reproductive health,HCHS doctors - Consultant,Consultant,0.8,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Obstetrics and gynaecology group,Community sexual and reproductive health,HCHS doctors - Specialty Doctor,Specialty Doctor,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Obstetrics and gynaecology group,Community sexual and reproductive health,HCHS doctors - Specialty Registrar,Specialty Registrar,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Obstetrics and gynaecology group,Obstetrics and gynaecology,HCHS doctors - Associate Specialist,Associate Specialist,1.0,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Obstetrics and gynaecology group,Obstetrics and gynaecology,HCHS doctors - Consultant,Consultant,52.2745,54
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Obstetrics and gynaecology group,Obstetrics and gynaecology,HCHS doctors - Core Training,Core Training,19.65,20
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Obstetrics and gynaecology group,Obstetrics and gynaecology,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,2.0,2
